sequence,label
fedcccdcefBfedcfeedcAfccdcdecececcffcdcdcddccffdec,BA
dcffcfBdffdecceddedfBcceedcedfeedfeeffefedffffffed,BB
ccffffefddBcedeccfceeeeAefcddcfceefeeedfedfcedfcef,BA
dcdfddAfdfedfedfcdcdedeAfffffddcedfefddddffdfcdddc,AA
ccececffAfceedcfcdfcdcfAcdeddefffedcefefccefcfcefc,AA
fcffdeBecffddfeffeedceefdAcdddcdfdfcffcfeecfcefffc,BA
cccdfddeceAfededfededcdfBfffdddfeefdeffddcdecccecd,AB
cdefcffdAdccdccecefcfAfdeecdceecececeeddccccdccffd,AA
fdcfeccffAeeccedefdfecfBcffefecdfdfefcceccfecfeddf,AB
cedcfcecdAccfedccfecfceAdfdedcfefdeedfcdfffcddfcec,AA
cedfefcAeccedfefdeceeeffAceedcddcfdefececededffefd,AA
eceedffdfcBdfccdfdcceBddeeecfefffcfcecffdeedcfddfc,BB
efceedcccfAedecccecedfdeAceeffcddeededddcccddfdeef,AA
ffeeedddfcAeeeccfeeefffdcAcddfdfededcdfdddfedfcfcd,AA
ccfdcefAeffdecdcdcdceccdBececdedcccfdeeefcfedefffc,AB
fcddcfdAcfffdfddfdccdBdccedcfdcededdedfddfeceecfee,AB
dffdfdccAefedcecdecfAdfddcedccfcededddcdcecfcfccec,AA
fdeedcdceAcdcccccceccfBdfefdddecfdccdfdeeffdcccdec,AB
cfdefAfefeeeffcdcceffdefAdcddceeceffdfedfcdcdfefcd,AA
dfdcfeffBffdeefddccefBcddcfdddfeeffeccdefdfceeecfe,BB
ffefdAffdedefcfcdffdfeecBcfcefecceeffceddcfcfdceec,AB
eecfcccBfdccfcfeedfccBefdffdefccffdfcdcecdceeeeddf,BB
ccfccfdfeBdcffcfddddfdfdfAdccfccefcffcccfeeeffecdf,BA
dddfddcffeBeffddccdcfdAefceeddddcdcffddcffcdcefecd,BA
fdfffffeBcedcddeccfeAfccfddcffdddeddcdeefefcceefcd,BA
fcdedeBcfffcdefffdceefdcAeeefcededecfdfddedccddcdf,BA
ffdfeedfBfeddedcfedfdcAffdfdfdfdcfcdddfeeefddfdefc,BA
efceeecefeBcdcefddddccAdcececdccecfcdddccedfceeffe,BA
ddeddeeAedccccdeedcdfffcBffefccedecefdcffddececdde,AB
ffccceAdefeffddffcfdBfeddeedeedffcccfdfcccdffddcfe,AB
ddcfdBecfeffcfcccceccddBefeffdfddffefdcdeeeecffdec,BB
eecfcAccccfceecffcccAeedecedfeddefedcfcecdfeceffed,AA
ecededffcAdcedfffeecccAfdefccdeceffccfccffcffedded,AA
eccdcfeedAeffcdfcfcfeeeecAdeccfdeccccddcdcdeeffdde,AA
fcccdfcdAfdefcccfedcccfAfcdefcdddcfcfcfdccceedeccc,AA
cddedfecBdeceefccfdeccdcdAcceeffccceddeedcdeddfdcf,BA
cfeddccBdcccfffccfdffccfeBdfdeccdddcfffcfedffeecde,BB
eccefcAefdcfffeceedeceeBefdcfeddefccdffccfcfccdeee,AB
dcccfcBceecfffdfcddddceBfceffdfcdcfeeefedefceecccf,BB
ecdeddeBececdcddedfdcedAddfecffcedffeecfcfdeffeefc,BA
cecfdfddfAddfcdffdddAdedcedefffffcdccfedcceedcefee,AA
feedfcceeAfeddedfcdfffBececcecdfeddcffeeeedfcdfdee,AB
dcddddAdfdeccfdfdddcecccdBcecdddceceeccefeeddefedd,AB
dfefddBcfdcdddcdeddcffBdfccefeceffeeecfefcfeeefefd,BB
ecddddAcdcdceffcdfeeffcAfccdefcedfcccddcfeecfddcce,AA
ffccfcAcefefeddededdBdededffddfdfecdcecfddfffedcff,AB
eedfcdefeBcccffeedcfeAeedddecfdcfffcecdffdcddfdcff,BA
dedccdeddBccefdecfcecdBfcdfeffdfddfecfeccdcffecffc,BB
ffccfdAfcccdfeeefcedddfcBefdfccdedcfdfdedecdfeccef,AB
ceffffAededcefdeddefedAfcfdeffdcdcecfffefccdfccccf,AA
efdfcfeAdfdedfefcdfeAecdedcedceeecdfdccfdfdccfffec,AA
fcdfedfefeBfedfefcfdAdeccfffceeffdffdefefcddccffdf,BA
cdedfBdeedfceffcffcfcefcAfcfcdfcfefcffefecfedcdfec,BA
fcfdfedeBccccfdfecefcccBfcfcededfeeedecdcfeeedcfff,BB
dddddBecfddeffcececedfcAffcfcecdecfeededffcdcddeed,BA
edefdcfBdeefeceeececdccBeffcfedfcddccdefecdfddeecc,BB
cffffcfedcBfdffdfdfeefeeeAddefdfeedfededefdfdcdddf,BA
ceeffAcfdfdedefdfccfdAeddcdfdccdccdddedddcfccfdfdc,AA
dfedcBccfcfeeeeffececeAeeceffffdfecfdfffeeceecfdde,BA
fdedfBfddeddcffcfdffffeeBfeefeffffcfddfcffddcdfeec,BB
fdeffeedeBcffdedfddcccefBfcfecdefddcfdcefdedfeccee,BB
dfccffcfdeBeeddcedecfAeeffcfeefffdcefcfeccfefefccf,BA
efdfedefccAeffddefdeeAfcccdfdddffdcdddddeedfffffee,AA
eeecfedeAfeeedcfeffefefeeBefedcfdeddeddfedddeedddf,AB
edcfeBdcfdfecefeddddfceeBeecfcccccfddcfecfddccedee,BB
edcdffedcAccdcfeeeccecdBfceefeccccefefeccecfdfcdfd,AB
dfcddAefdfeedccedffcfceBceffeddefdeeeddfceecfeceec,AB
ffdcddBfcfedcdcffcecceAcdffdcedecccddeececdffccedc,BA
cefcdAecddcffcecdecfAedeeffedefeddddfdcdffcedcedcc,AA
cddfdccBefeceeceeedcBefedfdececdeeedcefccceecefcdd,BB
fcfddffccAccfceecddfffAcfecdceeefdddecffcfdfecddcc,AA
ddcceBcfcdcdfddeeecfdcfdAdecedcfeccdcffdcfecfcdffd,BA
fcdfcdcdBeefcfefcfcdedfBdfeefdddfcdddeecffdccccffe,BB
edceccffeeBddfcedcceefddfBedfeffedcfdcdccceccffdfd,BB
fcdddfBfdffddecfdeceBdfddffcfdcceffccdffeedefdfcef,BB
eececAdfcceedfdcedfecddBcfedcfefcddceeedefcdfddddd,AB
dedffcecfAfeccfcffffcedAeececcfdeeddfeeccecffdccce,AA
fecdcfdccAfcdcddcdddfefBdefedeededdffeedfdccfddcde,AB
dddfdefedcBddcfefdedAffcdecfccdceceddededdfeccedfd,BA
cceeddfBeedffddccfcdcdAdfdeddecfcedeedcfceecddddff,BA
deddecfefBcdfedeceefefceBdefecdfcfefdfdcefedfedcef,BB
ffcffffeBfcfddcedddfeAecfcedcceedecfddffcfdefeecff,BA
dccfeceddeAfecdcfdceefedfBeeeedcdddeeeeecfdefeedfe,AB
ccfeedAddffceddfdcdddeffAdeffdefeefcdeecdeeeedcedc,AA
fcdcefdcAdfceececedeffBfccfeccfeefeddcdfdcfdcfdfdc,AB
